bin_index,range_m,analog,analog_sterr,photon_counting,pc_sterr,overflow_info,photon_counting_shifted,pc_sterr_shifted,SNR_analog,SNR_Photon,photon_deadtime_corr_hz,photon_deadtime_corr,analog_bg_corr,photon_bg_corr,afterpulse_profile,photon_APcorr,analog_scaled_for_glue,weight_w,merged_sig,overlap_func,merged_counts_ovcorr,range2_corrected_counts,range2_corrected_counts_overlap,nrb,range2_norm
55,206.25,19.0509,0.0418101,177.774,0.861861,0.0,177.774,0.861861,455.65305990657754,206.267599995823,389845380.23553616,389.84538023553614,13.367261478521478,389.8383407680026,4.470228359525876,385.37515187601025,1003.022339340116,0.0,1003.022339340116,0.2,5015.11169670058,42667629.9820854,213338149.91042703,1706705199.2834158,0.7628499924978627
56,210.0,18.7979,0.039759,174.996,0.855355,0.0,174.996,0.855355,472.79609648129974,204.58873800936456,376730654.0727538,376.7306540727538,13.114261478521477,376.72361460522023,4.3596056901021925,372.3710483826516,984.2786831008797,0.0,984.2786831008797,0.2,4921.393415504398,43406689.92474879,217033449.62374395,1736267596.9899516,0.7760635661590424
57,213.75,18.6002,0.0380243,176.887,0.850219,0.0,176.887,0.850219,489.1661384956463,208.04874979270048,385605099.41255105,385.60509941255106,12.91656147852148,385.5980599450175,4.2533000221495865,381.3517993904015,969.6319604190734,0.0,969.6319604190734,0.2,4848.159802095367,44301575.24158457,221507876.20792285,1772063009.6633828,0.7920631250171567
58,217.5,18.4048,0.0374099,176.234,0.844055,0.0,176.234,0.844055,491.976722739168,208.79445059859844,382515378.62280923,382.51537862280924,12.72116147852148,382.5083391552757,4.151085314071777,378.36429330873744,955.1556346121691,0.0,955.1556346121691,0.2,4775.778173060846,45184831.23987193,225924156.19935963,1807393249.594877,0.8078547645328763
59,221.25,18.196,0.0357741,174.895,0.860834,0.0,174.895,0.860834,508.63613619909376,203.1692521438512,376262877.7984142,376.2628777984142,12.51236147852148,376.25583833088064,4.052748690731201,372.210129107683,939.6865617949655,0.0,939.6865617949655,0.2,4698.432808974828,45999125.46011637,229995627.30058184,1839965018.4046547,0.8224134437954774
60,225.0,18.0156,0.0343722,175.247,0.855698,0.0,175.247,0.855698,524.1328748232584,204.8000579643753,377895847.66325265,377.89584766325265,12.331961478521478,377.8888081957191,3.9580896536050663,373.9377580096476,926.3215199548143,0.0,926.3215199548143,0.2,4631.607599774072,46895026.94771247,234475134.73856238,1875801077.9084988,0.8384311706619207
61,228.75,17.795,0.0333913,173.255,0.84474,0.0,173.255,0.84474,532.9232464743811,205.09861022326393,368753428.0308795,368.7534280308795,12.11136147852148,368.74638856334593,3.8669193386784233,364.88650869220106,909.9782370837648,0.0,909.9782370837648,0.2,4549.891185418824,47616033.096403435,238080165.48201716,1904641323.8561373,0.851321962471795
62,232.5,17.5607,0.0318197,172.753,0.843713,0.0,172.753,0.843713,551.8813816597894,204.75327510658244,366486766.33434445,366.48676633434445,11.87706147852148,366.4797268668109,3.779059819183801,362.7077065151606,892.6199815230808,0.0,892.6199815230808,0.2,4463.099907615404,48251688.87620704,241258444.38103518,1930067555.0482814,0.8626867841658521
63,236.25,17.3512,0.03099,173.356,0.858437,0.0,173.356,0.858437,559.8967408841561,201.9437652384508,369211261.6974262,369.2112616974262,11.667561478521478,369.20422222989265,3.694343450471964,365.5169182469542,877.0990487874284,0.0,877.0990487874284,0.2,4385.495243937142,48954461.12771208,244772305.63856038,1958178445.108483,0.8752515740783319
64,240.0,17.1273,0.0310083,174.075,0.841316,0.0,174.075,0.841316,552.3456622904191,206.9079870108259,372487992.9728533,372.4879929728533,11.44366147852148,372.48095350531975,3.612612254462922,368.8753807183904,860.5112834436935,0.0,860.5112834436935,0.2,4302.556417218468,49565449.92635675,247827249.63178372,1982617997.0542698,0.886175377454757
65,243.75,16.849,0.0296001,168.887,0.853985,0.0,168.887,0.853985,569.2210499288853,197.76342675808124,349513617.15913254,349.51361715913254,11.16536147852148,349.506577691599,3.533717341280797,345.97989981785173,839.8932615805335,0.0,839.8932615805335,0.2,4199.466307902667,49901470.73687466,249507353.6843733,1996058829.4749863,0.8921830575834715
66,247.5,16.607,0.0298387,172.971,0.863916,0.0,172.971,0.863916,556.5590994245728,200.21738224549608,367469276.22376424,367.46927622376427,10.923361478521478,367.4622367562307,3.457518365821342,364.01175785794294,821.964546916916,0.0,821.964546916916,0.2,4109.82273458458,50350465.77707934,251752328.88539666,2014018631.0831733,0.9002105918804437
67,251.25,16.4104,0.028823,172.05,0.85467,0.0,172.05,0.85467,569.3508656281441,201.3057671381937,363337254.26427644,363.33725426427645,10.726761478521478,363.3302147967429,3.3838830171372614,359.9533712471392,807.3993183926715,0.0,807.3993183926715,0.2,4036.9965919633573,50968343.53497238,254841717.67486188,2038733741.398895,0.9112575622223916
68,255.0,16.1641,0.0279246,170.126,0.852616,0.0,170.126,0.852616,578.8480407955709,199.5341396361316,354862068.8187865,354.8620688187865,10.48046147852148,354.85502935125294,3.3126865386546043,351.5493822801319,789.1520356585851,0.0,789.1520356585851,0.2,3945.760178292925,51314611.11869949,256573055.59349746,2052584444.7479796,0.9174484433132652
